custAge,profession,marital,schooling,default,housing,loan,contact,month,day_of_week,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,pmonths,pastEmail,responded,profit,id
25,unemployed,married,high.school,unknown,no,no,cellular,jul,fri,10,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,999,0,no,NA,777
NA,blue-collar,single,unknown,no,yes,yes,telephone,may,tue,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,999,0,no,NA,778
46,retired,married,NA,no,no,no,telephone,may,wed,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,999,0,no,NA,779
41,blue-collar,married,basic.6y,unknown,no,no,telephone,may,fri,4,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191,999,0,no,NA,780
NA,blue-collar,married,professional.course,no,no,no,cellular,apr,fri,2,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,999,0,no,NA,781
50,self-employed,married,basic.9y,no,yes,no,cellular,aug,thu,7,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,999,0,no,NA,782
NA,services,single,university.degree,no,yes,yes,cellular,may,mon,5,999,0,nonexistent,-1.8,92.893,-46.2,1.244,5099.1,999,0,no,NA,783
51,admin.,married,high.school,no,no,no,cellular,may,tue,4,999,0,nonexistent,-1.8,92.893,-46.2,1.291,5099.1,999,0,no,NA,784
49,services,married,basic.6y,no,no,yes,cellular,apr,fri,1,999,0,nonexistent,-1.8,93.075,-47.1,1.479,5099.1,999,0,no,NA,785
41,management,married,NA,no,yes,no,cellular,apr,fri,1,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,999,0,no,NA,786
30,admin.,married,high.school,no,no,no,cellular,jul,mon,1,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,999,0,no,NA,787
36,technician,married,professional.course,no,yes,no,cellular,may,thu,1,999,1,failure,-1.8,93.876,-40,0.677,5008.7,999,1,no,NA,788
48,blue-collar,married,basic.6y,no,yes,no,telephone,may,thu,4,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191,999,0,no,NA,789
33,entrepreneur,married,basic.9y,no,no,no,cellular,may,wed,2,999,1,failure,-1.8,92.893,-46.2,1.334,5099.1,999,3,no,NA,790
NA,entrepreneur,married,basic.9y,unknown,yes,yes,cellular,may,thu,2,999,0,nonexistent,-1.8,92.893,-46.2,1.266,5099.1,999,0,no,NA,791
31,blue-collar,single,professional.course,no,no,yes,telephone,jul,tue,1,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,999,0,no,NA,792
77,retired,married,unknown,no,no,no,cellular,aug,wed,8,999,2,failure,-1.7,94.027,-38.3,0.903,4991.6,999,4,no,NA,793
45,blue-collar,divorced,professional.course,unknown,yes,no,cellular,jul,wed,1,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,999,0,no,NA,794
37,blue-collar,married,basic.6y,unknown,no,no,telephone,jun,tue,4,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,999,0,no,NA,795
50,blue-collar,married,NA,no,no,no,telephone,nov,NA,1,999,0,nonexistent,-0.1,93.2,-42,4.021,5195.8,999,0,no,NA,796
NA,technician,single,university.degree,no,yes,yes,cellular,aug,fri,9,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,999,0,no,NA,797
34,technician,married,university.degree,no,no,no,telephone,may,tue,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191,999,0,no,NA,798
45,technician,married,university.degree,no,yes,yes,telephone,may,mon,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,999,0,no,NA,799
NA,services,married,basic.9y,no,yes,no,telephone,jun,mon,1,999,0,nonexistent,-2.9,92.963,-40.8,1.266,5076.2,999,0,no,NA,800
37,admin.,married,high.school,no,no,no,cellular,apr,thu,3,999,0,nonexistent,-1.8,93.075,-47.1,1.365,5099.1,999,0,no,NA,801
37,blue-collar,married,NA,no,yes,no,telephone,jun,fri,7,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,999,0,no,NA,802
85,housemaid,divorced,basic.4y,unknown,yes,no,telephone,oct,fri,2,999,0,nonexistent,-3.4,92.431,-26.9,0.739,5017.5,999,0,no,NA,803
32,management,single,NA,no,no,no,cellular,jun,tue,4,999,0,nonexistent,-1.7,94.055,-39.8,0.761,4991.6,999,0,no,NA,804
33,admin.,single,university.degree,no,yes,no,telephone,aug,thu,1,999,0,nonexistent,1.4,93.444,-36.1,4.962,5228.1,999,0,no,NA,805
40,management,married,NA,no,yes,no,cellular,aug,wed,1,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,999,0,no,NA,806
NA,technician,married,NA,no,no,yes,telephone,may,tue,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,999,0,no,NA,807
36,blue-collar,single,basic.4y,no,yes,no,telephone,jun,mon,2,999,0,nonexistent,1.4,94.465,-41.8,4.865,5228.1,999,0,no,NA,808
30,blue-collar,married,NA,no,yes,no,cellular,aug,mon,4,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,999,0,no,NA,809
36,services,single,NA,no,yes,no,cellular,nov,thu,3,999,0,nonexistent,-0.1,93.2,-42,4.076,5195.8,999,0,no,NA,810
39,services,married,high.school,unknown,no,no,telephone,may,tue,4,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,999,0,no,NA,811
47,technician,single,professional.course,unknown,no,no,telephone,may,wed,1,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191,999,0,no,NA,812
56,services,married,high.school,no,yes,no,cellular,may,mon,2,999,0,nonexistent,-1.8,92.893,-46.2,1.354,5099.1,999,0,no,NA,813
48,services,divorced,high.school,no,yes,yes,cellular,apr,mon,1,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,999,0,no,NA,814
30,admin.,divorced,NA,no,no,no,cellular,nov,tue,1,999,0,nonexistent,-0.1,93.2,-42,4.153,5195.8,999,0,no,NA,815
46,entrepreneur,married,high.school,no,yes,no,cellular,aug,mon,1,999,0,nonexistent,-2.9,92.201,-31.4,0.861,5076.2,999,0,no,NA,816
NA,admin.,married,high.school,no,no,no,telephone,jul,NA,1,999,1,failure,-1.7,94.215,-40.3,0.876,4991.6,999,4,no,NA,817
NA,retired,divorced,basic.4y,no,yes,yes,cellular,mar,wed,2,999,0,nonexistent,-1.8,92.843,-50,1.663,5099.1,999,0,no,NA,818
33,technician,single,NA,no,yes,no,cellular,aug,thu,14,999,0,nonexistent,1.4,93.444,-36.1,4.962,5228.1,999,0,no,NA,819
30,services,married,NA,no,no,no,cellular,jul,thu,1,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,999,0,no,NA,820
30,technician,divorced,high.school,no,no,no,cellular,aug,thu,4,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,999,0,no,NA,821
51,services,married,NA,no,no,no,cellular,nov,tue,1,999,1,failure,-0.1,93.2,-42,4.153,5195.8,999,3,no,NA,822
47,self-employed,married,university.degree,no,no,no,cellular,apr,mon,1,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,999,0,no,NA,823
51,services,single,high.school,unknown,no,no,telephone,jun,mon,3,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,999,0,no,NA,824
35,blue-collar,married,basic.9y,no,yes,no,telephone,jun,NA,2,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,999,0,no,NA,825
33,technician,single,NA,no,no,no,cellular,aug,NA,9,999,0,nonexistent,1.4,93.444,-36.1,4.962,5228.1,999,0,no,NA,826
NA,student,single,high.school,unknown,no,no,telephone,may,thu,1,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191,999,0,no,NA,827
38,technician,married,professional.course,unknown,no,yes,cellular,aug,thu,3,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,999,0,no,NA,828
NA,blue-collar,married,basic.4y,unknown,no,no,telephone,may,wed,8,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191,999,0,no,NA,829
36,services,married,high.school,unknown,yes,yes,cellular,may,NA,1,999,0,nonexistent,-1.8,92.893,-46.2,1.313,5099.1,999,0,no,NA,830
39,technician,married,professional.course,no,no,no,cellular,aug,mon,1,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,999,0,no,NA,831
30,blue-collar,married,high.school,no,yes,no,cellular,jul,NA,4,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,999,0,no,NA,832
46,management,married,university.degree,no,no,no,cellular,jul,mon,3,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,999,0,no,NA,833
41,technician,married,professional.course,no,yes,no,cellular,aug,mon,1,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,999,0,no,NA,834
55,technician,married,university.degree,no,no,no,telephone,may,fri,1,999,0,nonexistent,1.1,93.994,-36.4,4.864,5191,999,0,no,NA,835
NA,admin.,married,university.degree,no,yes,no,cellular,aug,thu,3,999,0,nonexistent,1.4,93.444,-36.1,4.968,5228.1,999,0,no,NA,836
NA,admin.,divorced,university.degree,unknown,no,no,telephone,aug,tue,5,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,999,0,no,NA,837
27,blue-collar,single,high.school,no,yes,no,telephone,jun,tue,5,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,999,0,no,NA,838
57,retired,married,basic.6y,no,no,no,cellular,aug,tue,1,999,0,nonexistent,1.4,93.444,-36.1,4.968,5228.1,999,0,no,NA,839
NA,blue-collar,married,basic.9y,unknown,yes,no,telephone,may,tue,3,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191,999,0,no,NA,840
NA,blue-collar,married,basic.4y,unknown,yes,yes,cellular,aug,fri,1,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,999,0,no,NA,841
56,admin.,married,university.degree,no,yes,no,cellular,jun,NA,1,999,0,nonexistent,-2.9,92.963,-40.8,1.252,5076.2,999,0,no,NA,842
38,blue-collar,married,basic.6y,no,yes,no,telephone,jul,wed,1,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,999,0,no,NA,843
46,admin.,divorced,NA,unknown,no,no,telephone,may,mon,3,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,999,0,no,NA,844
NA,blue-collar,single,basic.9y,no,no,no,telephone,may,fri,1,999,0,nonexistent,1.1,93.994,-36.4,4.864,5191,999,0,no,NA,845
26,blue-collar,single,basic.9y,no,yes,no,cellular,jul,tue,2,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,999,0,no,NA,846
NA,entrepreneur,single,NA,no,no,no,cellular,nov,thu,1,999,0,nonexistent,-0.1,93.2,-42,4.076,5195.8,999,0,no,NA,847
54,blue-collar,married,NA,no,no,yes,telephone,may,NA,4,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191,999,0,no,NA,848
32,admin.,single,NA,no,yes,yes,cellular,nov,thu,1,999,0,nonexistent,-0.1,93.2,-42,4.076,5195.8,999,0,no,NA,849
34,blue-collar,married,NA,unknown,no,no,cellular,may,NA,2,999,1,failure,-1.8,92.893,-46.2,1.281,5099.1,999,1,no,NA,850
25,technician,married,university.degree,no,yes,no,cellular,may,tue,1,12,1,success,-1.8,92.893,-46.2,1.291,5099.1,0.4,3,no,NA,851
42,admin.,married,NA,no,no,no,cellular,jul,wed,2,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,999,0,no,NA,852
48,admin.,single,high.school,no,no,no,cellular,apr,mon,2,999,0,nonexistent,-1.8,93.075,-47.1,1.466,5099.1,999,0,no,NA,853
56,retired,married,basic.4y,no,no,no,telephone,may,wed,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,999,0,no,NA,854
34,services,married,high.school,no,yes,yes,telephone,jun,fri,2,999,0,nonexistent,1.4,94.465,-41.8,4.967,5228.1,999,0,no,NA,855
37,entrepreneur,married,NA,no,yes,no,cellular,nov,mon,1,999,1,failure,-3.4,92.649,-30.1,0.714,5017.5,999,3,no,NA,856
NA,services,married,high.school,unknown,yes,no,telephone,may,wed,9,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191,999,0,no,NA,857
32,technician,married,professional.course,no,no,no,cellular,may,mon,6,999,0,nonexistent,-1.8,92.893,-46.2,1.244,5099.1,999,0,no,NA,858
NA,technician,married,NA,no,yes,no,cellular,aug,tue,1,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,999,0,no,NA,859
33,technician,single,professional.course,no,yes,no,cellular,may,wed,1,999,1,failure,-1.8,92.893,-46.2,1.281,5099.1,999,3,no,NA,860
40,technician,married,professional.course,unknown,yes,no,cellular,aug,mon,3,999,0,nonexistent,1.4,93.444,-36.1,4.97,5228.1,999,0,no,NA,861
39,technician,single,professional.course,no,no,yes,cellular,jul,mon,4,999,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1,999,0,no,NA,862
30,technician,single,NA,no,yes,no,cellular,aug,fri,2,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,999,0,no,NA,863
35,admin.,single,university.degree,no,no,no,cellular,aug,mon,1,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,999,0,no,NA,864
NA,blue-collar,married,NA,no,yes,no,cellular,jul,NA,1,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,999,0,no,NA,865
27,technician,single,professional.course,no,no,no,cellular,jul,mon,7,999,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1,999,0,no,NA,866
32,technician,married,NA,unknown,yes,no,cellular,aug,tue,1,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,999,0,no,NA,867
NA,management,married,university.degree,no,no,no,telephone,apr,wed,4,999,0,nonexistent,-1.8,93.075,-47.1,1.415,5099.1,999,0,no,NA,868
35,unknown,married,basic.9y,no,no,yes,telephone,may,wed,2,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191,999,0,no,NA,869
38,admin.,divorced,NA,no,no,no,cellular,may,tue,4,999,0,nonexistent,-1.8,92.893,-46.2,1.291,5099.1,999,0,no,NA,870
57,management,married,basic.9y,no,no,no,telephone,may,wed,26,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191,999,0,no,NA,871
NA,technician,single,high.school,no,no,no,telephone,may,NA,1,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191,999,0,no,NA,872
NA,retired,divorced,basic.4y,no,no,no,cellular,sep,tue,1,999,0,nonexistent,-3.4,92.379,-29.8,0.788,5017.5,999,0,no,NA,873
28,technician,married,university.degree,no,yes,yes,cellular,may,thu,3,999,0,nonexistent,-1.8,92.893,-46.2,1.266,5099.1,999,0,no,NA,874
NA,technician,single,university.degree,no,no,no,cellular,jul,fri,1,3,2,success,-1.7,94.215,-40.3,0.885,4991.6,0.1,6,no,NA,875
48,blue-collar,married,NA,no,yes,yes,cellular,may,tue,4,999,1,failure,-1.8,92.893,-46.2,1.291,5099.1,999,2,no,NA,876
44,blue-collar,single,NA,unknown,yes,no,cellular,nov,thu,1,999,0,nonexistent,-0.1,93.2,-42,4.076,5195.8,999,0,no,NA,877
50,self-employed,married,NA,no,no,no,telephone,jun,NA,2,999,0,nonexistent,1.4,94.465,-41.8,4.967,5228.1,999,0,no,NA,878
49,unknown,married,unknown,unknown,yes,no,telephone,jun,mon,1,999,0,nonexistent,1.4,94.465,-41.8,4.865,5228.1,999,0,no,NA,879
41,blue-collar,married,NA,no,no,no,telephone,may,NA,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,999,0,no,NA,880
NA,admin.,married,NA,no,yes,yes,telephone,may,mon,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,999,0,no,NA,881
42,admin.,divorced,NA,no,yes,no,cellular,sep,wed,1,999,1,failure,-1.1,94.199,-37.5,0.886,4963.6,999,2,no,NA,882
NA,technician,single,high.school,no,yes,yes,telephone,jun,mon,2,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,999,0,no,NA,883
33,technician,married,university.degree,no,no,no,cellular,jul,thu,4,999,0,nonexistent,1.4,93.918,-42.7,4.968,5228.1,999,0,no,NA,884
58,unemployed,married,basic.9y,no,no,no,telephone,jun,mon,2,999,0,nonexistent,1.4,94.465,-41.8,4.865,5228.1,999,0,no,NA,885
39,admin.,married,professional.course,no,yes,no,telephone,may,tue,7,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,999,0,no,NA,886
34,blue-collar,single,NA,unknown,no,no,telephone,may,mon,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,999,0,no,NA,887
35,blue-collar,single,basic.9y,no,yes,no,cellular,may,NA,1,999,0,nonexistent,-1.8,92.893,-46.2,1.334,5099.1,999,0,no,NA,888
53,admin.,married,NA,no,no,no,cellular,nov,wed,2,999,0,nonexistent,-0.1,93.2,-42,4.12,5195.8,999,0,no,NA,889
44,technician,married,NA,no,no,no,cellular,aug,tue,6,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,999,0,no,NA,890
37,services,single,basic.9y,no,no,no,cellular,may,tue,1,999,0,nonexistent,-1.8,92.893,-46.2,1.344,5099.1,999,0,no,NA,891
31,services,married,basic.9y,no,no,no,cellular,apr,mon,2,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,999,0,no,NA,892
NA,admin.,single,university.degree,no,yes,no,cellular,nov,mon,1,999,0,nonexistent,-0.1,93.2,-42,4.191,5195.8,999,0,no,NA,893
36,admin.,married,professional.course,no,yes,no,cellular,aug,fri,1,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,999,0,no,NA,894
37,blue-collar,married,NA,no,no,no,telephone,may,thu,1,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191,999,0,no,NA,895
NA,blue-collar,married,professional.course,no,no,no,cellular,nov,tue,1,999,1,failure,-0.1,93.2,-42,4.153,5195.8,999,2,no,NA,896
49,admin.,divorced,high.school,no,no,no,telephone,may,thu,3,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191,999,0,no,NA,897
43,admin.,divorced,basic.9y,no,unknown,unknown,telephone,may,tue,2,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191,999,0,no,NA,898
27,admin.,single,high.school,no,yes,no,telephone,jun,NA,1,999,1,failure,-1.7,94.055,-39.8,0.739,4991.6,999,2,no,NA,899
30,admin.,single,NA,no,yes,yes,cellular,aug,mon,2,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,999,0,no,NA,900
58,blue-collar,married,basic.9y,no,no,no,cellular,nov,tue,1,999,1,failure,-0.1,93.2,-42,4.153,5195.8,999,3,no,NA,901
47,admin.,married,NA,no,no,yes,cellular,aug,mon,2,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,999,0,no,NA,902
37,blue-collar,married,NA,no,no,no,telephone,may,tue,2,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191,999,0,no,NA,903
51,self-employed,married,basic.4y,no,no,no,cellular,nov,mon,1,999,0,nonexistent,-0.1,93.2,-42,4.191,5195.8,999,0,no,NA,904
30,self-employed,single,university.degree,no,yes,no,cellular,nov,NA,3,999,1,failure,-0.1,93.2,-42,4.076,5195.8,999,2,no,NA,905
35,blue-collar,married,basic.4y,unknown,yes,no,cellular,may,thu,1,999,1,failure,-1.8,92.893,-46.2,1.327,5099.1,999,2,no,NA,906
NA,admin.,married,university.degree,no,no,no,cellular,aug,thu,2,999,1,failure,-2.9,92.201,-31.4,0.873,5076.2,999,3,no,NA,907
NA,technician,married,NA,no,yes,no,cellular,nov,tue,1,1,4,success,-1.1,94.767,-50.8,1.046,4963.6,0.033333333,4,no,NA,908
40,technician,married,NA,no,yes,no,cellular,aug,mon,6,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,999,0,no,NA,909
27,admin.,married,basic.9y,no,yes,no,telephone,may,fri,2,999,0,nonexistent,1.1,93.994,-36.4,4.864,5191,999,0,no,NA,910
63,retired,divorced,university.degree,no,yes,yes,cellular,jul,thu,1,999,1,failure,-2.9,92.469,-33.6,1.072,5076.2,999,2,no,NA,911
40,blue-collar,single,basic.4y,unknown,yes,no,telephone,jun,thu,1,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,999,0,no,NA,912
50,housemaid,married,basic.9y,no,yes,no,cellular,may,mon,2,999,1,failure,-1.8,92.893,-46.2,1.244,5099.1,999,2,no,NA,913
36,technician,married,high.school,no,no,no,telephone,jul,tue,1,999,0,nonexistent,1.4,93.918,-42.7,4.955,5228.1,999,0,no,NA,914
32,technician,married,NA,no,yes,no,cellular,jul,thu,6,999,0,nonexistent,1.4,93.918,-42.7,4.968,5228.1,999,0,no,NA,915
27,admin.,single,high.school,no,no,no,cellular,apr,thu,2,999,1,failure,-1.8,93.075,-47.1,1.41,5099.1,999,1,no,NA,916
45,admin.,divorced,NA,unknown,no,no,telephone,jun,mon,1,999,0,nonexistent,1.4,94.465,-41.8,4.865,5228.1,999,0,no,NA,917
44,blue-collar,single,NA,unknown,yes,no,telephone,jun,tue,1,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,999,0,no,NA,918
NA,admin.,single,high.school,no,yes,no,telephone,may,tue,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191,999,0,no,NA,919
NA,technician,married,NA,no,no,yes,cellular,may,mon,1,999,1,failure,-1.8,92.893,-46.2,1.299,5099.1,999,3,no,NA,920
NA,technician,married,NA,unknown,yes,no,cellular,aug,thu,1,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,999,0,no,NA,921
38,admin.,single,NA,no,no,no,telephone,may,fri,1,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191,999,0,no,NA,922
27,technician,single,NA,no,no,no,telephone,jun,tue,2,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,999,0,no,NA,923
46,technician,single,NA,unknown,no,no,cellular,aug,mon,2,999,0,nonexistent,1.4,93.444,-36.1,4.97,5228.1,999,0,no,NA,924
35,management,married,professional.course,no,yes,yes,telephone,may,wed,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,999,0,no,NA,925
34,blue-collar,married,basic.9y,no,yes,no,telephone,may,fri,5,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191,999,0,no,NA,926
32,management,single,professional.course,no,yes,no,cellular,nov,wed,4,999,0,nonexistent,-0.1,93.2,-42,4.12,5195.8,999,0,no,NA,927
33,technician,single,high.school,no,yes,no,cellular,jul,fri,1,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,999,0,no,NA,928
50,admin.,married,university.degree,no,yes,no,cellular,aug,mon,3,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,999,0,no,NA,929
NA,blue-collar,single,basic.9y,no,no,no,cellular,may,thu,1,999,1,failure,-1.8,92.893,-46.2,1.266,5099.1,999,3,no,NA,930
52,services,married,NA,unknown,no,no,telephone,may,NA,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191,999,0,no,NA,931
NA,blue-collar,married,basic.9y,no,no,no,cellular,may,wed,6,999,0,nonexistent,-1.8,92.893,-46.2,1.281,5099.1,999,0,no,NA,932
27,self-employed,single,university.degree,no,yes,no,cellular,may,thu,1,999,0,nonexistent,-1.8,92.893,-46.2,1.266,5099.1,999,0,no,NA,933
38,unknown,divorced,high.school,unknown,yes,no,telephone,jun,mon,1,999,0,nonexistent,1.4,94.465,-41.8,4.865,5228.1,999,0,no,NA,934
33,student,married,NA,no,no,no,cellular,jul,wed,2,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,999,0,no,NA,935
NA,admin.,married,university.degree,unknown,no,no,telephone,aug,mon,1,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,999,0,no,NA,936
30,admin.,married,high.school,unknown,no,no,cellular,jul,fri,7,999,0,nonexistent,1.4,93.918,-42.7,4.957,5228.1,999,0,no,NA,937
28,blue-collar,married,NA,unknown,no,no,cellular,jul,tue,1,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,999,0,no,NA,938
43,admin.,married,high.school,no,no,no,cellular,jul,tue,5,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,999,0,no,NA,939
41,blue-collar,single,basic.6y,unknown,no,no,cellular,jul,wed,1,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,999,0,no,NA,940
59,retired,married,unknown,no,yes,yes,cellular,aug,fri,2,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,999,0,no,NA,941
NA,technician,single,professional.course,no,no,no,cellular,may,wed,1,999,1,failure,-1.8,92.893,-46.2,1.334,5099.1,999,2,no,NA,942
48,blue-collar,married,basic.9y,no,yes,no,telephone,may,NA,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,999,0,no,NA,943
35,management,single,high.school,no,yes,no,cellular,nov,tue,1,999,1,failure,-0.1,93.2,-42,4.153,5195.8,999,4,no,NA,944
49,blue-collar,married,high.school,unknown,yes,no,cellular,aug,thu,2,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,999,0,no,NA,945
41,blue-collar,married,basic.4y,no,no,no,cellular,nov,NA,3,999,1,failure,-0.1,93.2,-42,4.076,5195.8,999,2,no,NA,946
33,admin.,divorced,high.school,unknown,no,no,telephone,may,tue,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,999,0,no,NA,947
NA,admin.,single,high.school,no,no,yes,telephone,nov,thu,1,999,0,nonexistent,-0.1,93.2,-42,4.076,5195.8,999,0,no,NA,948
34,blue-collar,married,high.school,no,yes,no,telephone,jun,mon,3,999,0,nonexistent,1.4,94.465,-41.8,4.865,5228.1,999,0,no,NA,949
35,admin.,married,NA,no,yes,no,cellular,aug,tue,3,999,0,nonexistent,1.4,93.444,-36.1,4.968,5228.1,999,0,no,NA,950
NA,technician,married,professional.course,no,yes,yes,telephone,oct,mon,1,999,0,nonexistent,-0.1,93.798,-40.4,5,5195.8,999,0,no,NA,951
54,retired,divorced,basic.4y,no,no,no,telephone,jun,mon,3,999,0,nonexistent,1.4,94.465,-41.8,4.865,5228.1,999,0,no,NA,952
NA,blue-collar,married,basic.9y,no,no,no,cellular,may,thu,1,999,1,failure,-1.8,92.893,-46.2,1.327,5099.1,999,1,no,NA,953
52,admin.,married,NA,no,yes,no,cellular,nov,fri,2,999,1,failure,-0.1,93.2,-42,4.021,5195.8,999,1,no,NA,954
33,blue-collar,married,NA,no,yes,no,telephone,may,wed,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,999,0,no,NA,955
50,blue-collar,married,NA,no,yes,yes,cellular,aug,tue,8,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,999,0,no,NA,956
33,blue-collar,married,NA,no,yes,no,telephone,may,wed,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191,999,0,no,NA,957
36,entrepreneur,married,NA,unknown,no,no,telephone,jun,wed,5,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,999,0,no,NA,958
NA,technician,married,university.degree,no,yes,no,cellular,aug,wed,2,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,999,0,no,NA,959
NA,admin.,divorced,high.school,no,no,no,cellular,nov,mon,3,999,0,nonexistent,-0.1,93.2,-42,4.191,5195.8,999,0,no,NA,960
35,blue-collar,single,high.school,no,yes,no,cellular,may,mon,5,999,0,nonexistent,-1.8,92.893,-46.2,1.244,5099.1,999,0,no,NA,961
NA,blue-collar,married,basic.6y,unknown,yes,no,cellular,nov,NA,2,999,0,nonexistent,-0.1,93.2,-42,4.12,5195.8,999,0,no,NA,962
49,blue-collar,married,basic.9y,unknown,no,no,cellular,jul,thu,1,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,999,0,no,NA,963
